A. MOVIE PROMOS
B. PURCHASE BONUSES
C. THEME DECKS & BOX SETS
D. LEAGUE & TOURNAMENTS
E. PROMO PACKS
F. EVENT PARTICIPATION
G. MISCELLANEOUS

Below is the ordered list of all promo cards and their source category.
1. Base Set
# 	Name KR 	Name ENG 	Source
58/102 	피카츄 	Pikachu 	Pikachu World Collection 2000 (Gold tail stamp)
086 	블래키 		Sword & Shield Promo Pack 5
087 	두트리오 V 		Sword & Shield Promo Pack 5
088 	이브이 		Sword & Shield Promo Pack 5
089 	반디나 		Sword & Shield Promo Pack 5
090 	만병통치제 		Pokémon Card Game Purchase Bonus
091 	몬스터볼 		Pokémon Card Game Purchase Bonus
092 	일격 우라오스 V 		Single Strike Master Special Jumbo Card Set
093 	연격 우라오스 V 		Rapid Strike Master Special Jumbo Card Set
094 	에이스번 V 		Sword & Shield Card Box Set “Single Strike”
095 	에이스번 VMAX 		Sword & Shield Card Box Set “Single Strike”
096 	고릴타 V 		Sword & Shield Card Box Set “Rapid Strike”
097 	고릴타 VMAX 		Sword & Shield Card Box Set “Rapid Strike”
098 	모르페코 		Pokémon Pop-up Store Starfield COEX Purchase Bonus
099 	모르페코 		Pokémon Pop-up Store Starfield COEX Purchase Bonus
